"/ual/odom/pose/pose/position/x_x","/ual/odom/pose/pose/position/x_y","/del_uav/KF_pose/x_y"
0.134,0.365020901,0.3606943067,
0.167,0.3657145798,0.3606220805,
0.2,0.3563758731,0.3609689195,
0.234,0.3513900042,0.3507335774,
0.267,0.3480014503,0.3482406427,
0.3,0.3449756205,0.3465463655,
0.334,0.3377156854,0.339467462,
0.367,0.3314180076,0.3302715055,
0.4,0.3161374927,0.3271226666,
0.434,0.3124777973,0.3139164207,
0.467,0.3086059988,0.3065205844,
0.5,0.3091139495,0.3045846852,
0.534,0.310768038,0.3048386605,
0.567,0.3137482107,0.3112316932,
0.6,0.310813427,0.3071557912,
0.634,0.3049159646,0.3056883992,
0.667,0.302252084,0.3027396681,
0.7,0.302916944,0.3014077284,
0.734,0.3048799634,0.3017401588,
0.767,0.2997190952,0.3027216685,
0.8,0.2945904136,0.2945752464,
0.835,0.287443012,0.2920109058,
0.867,0.28572914,0.2828712169,
0.9,0.2855482399,0.2820142812,
0.934,0.2864786386,0.2819238317,
0.967,0.2815685868,0.282389032,
1,0.2774764001,0.2799340066,
1.034,0.2688972652,0.2723219253,
1.067,0.2651596069,0.2624663699,
1.1,0.2583768368,0.260597541,
1.134,0.2544268072,0.2516401674,
1.167,0.2374158651,0.2440991642,
1.2,0.2259088308,0.2300277046,
1.234,0.2193906307,0.2187081987,
1.267,0.212416932,0.2154490986,
1.3,0.2083364278,0.2063962602,
1.334,0.2055491358,0.204356008,
1.367,0.2028907984,0.2029623617,
1.4,0.1930897534,0.2016331926,
1.434,0.1884954423,0.1911666812,
1.467,0.1844202429,0.1833035365,
1.5,0.1808406115,0.1812659367,
1.534,0.1770623326,0.1739101323,
1.567,0.1753389388,0.1720209925,
1.6,0.1711436957,0.1711592955,
1.634,0.1695874482,0.1690616735,
1.667,0.1682073325,0.1682835496,
1.7,0.168116346,0.1675934915,
1.734,0.167836532,0.1675479981,
1.768,0.1629494876,0.1618421027,
1.8,0.160250634,0.1593985805,
1.834,0.1568733305,0.1580491536,
1.867,0.1552063078,0.1507945136,
1.9,0.1498969942,0.1499610023,
1.934,0.1468768716,0.1473063456,
1.967,0.1425588429,0.1402302959,
2,0.1311887205,0.1380712817,
2.034,0.1261204332,0.1268202322,
2.067,0.1210252866,0.1187201002,
2.1,0.1179188043,0.116172527,
2.134,0.1130305976,0.1146192859,
2.167,0.1107973084,0.1121751826,
2.2,0.1111419499,0.1054925497,
2.235,0.1157109514,0.1112308589,
2.267,0.1186261252,0.1135153597,
2.3,0.1210232303,0.1149729467,
2.334,0.1247986555,0.1217374876,
2.367,0.1295425892,0.1236252002,
2.401,0.1325494945,0.1259971671,
2.434,0.1378058046,0.1330666084,
2.469,0.1441993415,0.1356947635,
2.5,0.1580006927,0.1444575205,
2.534,0.1653753817,0.1569241846,
2.567,0.1720913947,0.1606115293,
2.6,0.1729057729,0.1695355245,
2.634,0.1738939881,0.1699427139,
2.667,0.1782952398,0.1704368219,
2.7,0.1821365654,0.1782034367,
2.734,0.1914207041,0.1801240997,
2.769,0.1931267828,0.1903321581,
2.8,0.1954441667,0.1911851977,
2.834,0.1966221631,0.1923438897,
2.867,0.1990073472,0.1929328881,
2.901,0.1982761919,0.1941254808,
2.934,0.1917563081,0.1937599035,
2.967,0.1882096231,0.190499962,
3,0.1832459122,0.1831606313,
3.034,0.1786326915,0.1751127878,
3.067,0.1700094193,0.1728061779,
3.1,0.1700371802,0.1684945423,
3.134,0.1702875048,0.1685084237,
3.167,0.173137024,0.1686335863,
3.2,0.174830392,0.1700583464,
3.234,0.1757697016,0.1709050308,
3.267,0.1778109223,0.1713746862,
3.3,0.1804614365,0.1779612858,
3.334,0.1831914335,0.179286543,
3.367,0.1798663437,0.1806515414,
3.4,0.1777120233,0.1789889964,
3.434,0.176163882,0.172345847,
3.467,0.1776272953,0.1715717763,
3.5,0.1795790046,0.1778694719,
3.534,0.1827349067,0.1788453264,
3.567,0.1856465042,0.180423277,
3.6,0.1900319159,0.1874450646,
3.635,0.1906974912,0.1896377703,
3.667,0.1911097616,0.1899705577,
3.7,0.1930214167,0.1901766929,
3.734,0.1988262087,0.1911325205,
3.767,0.2007253021,0.1996009055,
3.8,0.1986004114,0.1949844632,
3.834,0.1978079528,0.1939220178,
3.867,0.1982243657,0.1935257885,
3.9,0.1991391182,0.1937339949,
3.934,0.2032414973,0.1997573601,
3.968,0.2059643418,0.2018085497,
4,0.2073916644,0.2031699721,
4.034,0.2092980444,0.2038836335,
4.067,0.2129072398,0.2048368237,
4.1,0.2204065472,0.2122074111,
4.134,0.2242579609,0.2215230541,
4.167,0.2294035852,0.223448761,
4.2,0.2347716093,0.2315875624,
4.234,0.2308536768,0.2287055855,
4.267,0.2265846133,0.2267466193,
4.303,0.2241000533,0.2246120873,
4.334,0.2255448848,0.2233698069,
4.368,0.2267322838,0.2240922223,
4.4,0.228679359,0.2246859214,
4.436,0.2291988879,0.2256594585,
4.467,0.2289779335,0.2259192228,
4.5,0.2293268591,0.2258087453,
4.534,0.232068941,0.2259832081,
4.567,0.2333499044,0.2273542489,
4.6,0.2297756523,0.2335607195,
4.634,0.2256457061,0.2262076044,
4.667,0.2215276659,0.2241426312,
4.7,0.2152644247,0.216517622,
4.734,0.2134563923,0.2133860013,
4.767,0.2074352205,0.2124819851,
4.8,0.1954483986,0.2039054102,
4.834,0.1908930689,0.1923460104,
4.867,0.1861238033,0.1845023567,
4.9,0.1773158461,0.182117724,
4.934,0.1740311831,0.1721477566,
4.967,0.1708690673,0.1705054251,
5,0.1619747728,0.1633583783,
5.034,0.1577835977,0.1589112311,
5.067,0.1526360214,0.1512496546,
5.1,0.1485483348,0.1486758663,
5.134,0.1409460306,0.141066034,
5.167,0.1360014081,0.1372648818,
5.2,0.1269567907,0.1292265815,
5.234,0.1231341138,0.1247042728,
5.268,0.1187511012,0.1172269455,
5.3,0.1179689318,0.1150354392,
5.334,0.1171875969,0.1146443546,
5.367,0.1149545759,0.1142536873,
5.4,0.1138003767,0.1125600774,
5.434,0.1143186614,0.1125600775,
5.467,0.1158993542,0.1128192202,
5.5,0.1168457791,0.1136095668,
5.534,0.1167742759,0.1140827795,
5.567,0.1171835363,0.1140470281,
5.6,0.1169534549,0.1142516585,
5.634,0.1138740107,0.114136618,
5.667,0.1129640713,0.112596896,
5.7,0.1103740931,0.1065759373,
5.734,0.1105811149,0.1052809483,
5.767,0.1103448048,0.1053844593,
5.8,0.1075128913,0.1052663043,
5.834,0.1053897738,0.1038503476,
5.867,0.1032622606,0.1027887888,
5.9,0.09699627012,0.09615904296,
5.934,0.09470602125,0.09302604767,
5.967,0.08758021891,0.08631493409,
6,0.08352705091,0.0827520329,
6.034,0.07913594693,0.08072544887,
6.068,0.07822679728,0.07852989684,
6.1,0.07668957114,0.07250933289,
6.134,0.07314599305,0.0717407197,
6.167,0.07149715722,0.06996893059,
6.2,0.06416458637,0.06914451258,
6.235,0.05980947241,0.05991223804,
6.267,0.05680024996,0.0577346809,
6.3,0.05517896637,0.05066408051,
6.334,0.05313215405,0.04985343855,
6.367,0.05323063582,0.04883003219,
6.4,0.05428663269,0.04887927294,
6.434,0.05997614935,0.05497325986,
6.467,0.06764899939,0.05781801804,
6.5,0.07187893987,0.06722043153,
6.534,0.07562243193,0.06933540168,
6.567,0.07977556437,0.07677313623,
6.6,0.08668341488,0.07884970234,
6.634,0.08906324953,0.08230362742,
6.667,0.0928209275,0.08905953321,
6.7,0.09360924363,0.09093837207,
6.734,0.09913417697,0.09133253003,
6.767,0.1023820788,0.09966098514,
6.8,0.1029738858,0.101284936,
6.834,0.09974155575,0.1015808395,
6.867,0.09723476321,0.09439868589,
6.9,0.09179737419,0.09314528958,
6.934,0.08807377517,0.090426595,
6.967,0.08510545641,0.08299880695,
7,0.08293956518,0.08151464749,
7.034,0.07763633877,0.08043170186,
7.068,0.07548360527,0.07778008859,
7.1,0.07381478697,0.07113773335,
7.134,0.07176364213,0.07030332421,
7.167,0.06492974609,0.06371176334,
7.2,0.05966463685,0.06029481532,
7.234,0.05024539307,0.05209627228,
7.267,0.04639362171,0.0473866504,
7.3,0.04234420136,0.04546076477,
7.334,0.03826116398,0.03787006616,
7.367,0.03207715228,0.03582854752,
7.4,0.03038551286,0.02717055318,
7.434,0.02796634659,0.02632473354,
7.467,0.02548306435,0.02511515042,
7.5,0.02051149122,0.02387350933,
7.534,0.01742992736,0.01582173419,
7.567,0.01440571714,0.01428095229,
7.6,0.009369622916,0.007202858571,
7.634,0.008026087657,0.004684811458,
7.667,0.006129086018,0.004013043828,
7.7,0.005721070338,0.003064543009,
7.734,0.004772226326,0.002860535169,
7.767,0.002383275656,0.002386113163,
7.8,-0.00357890036,0.001191637828,
7.834,-0.006641287357,-0.00178945018,
7.867,-0.01303189155,-0.003320643678,
7.9,-0.01593982987,-0.01208193462,
7.934,-0.01876953058,-0.01353590386,
7.967,-0.02479138784,-0.01495075425,
8,-0.02820836008,-0.02352767197,
8.034,-0.03348565102,-0.02523615815,
8.067,-0.03711753339,-0.03344079274,
8.1,-0.0471525453,-0.03525673397,
8.134,-0.05332213268,-0.04584022904,
8.167,-0.06675200909,-0.05449101184,
8.2,-0.07447571307,-0.06677193912,
8.234,-0.07874472439,-0.07063379107,
8.267,-0.08956771344,-0.0783342858,
8.3,-0.09454848617,-0.0893117693,
8.334,-0.1016517133,-0.09180215566,
8.367,-0.1054250896,-0.1009197582,
8.4,-0.1073591709,-0.1028064464,
8.434,-0.1036890298,-0.103773487,
8.467,-0.1009200811,-0.1019384163,
8.5,-0.1007030308,-0.100553942,
8.534,-0.1005509794,-0.1004454169,
8.568,-0.1044791788,-0.1003693911,
8.6,-0.1078291088,-0.1023334908,
8.634,-0.1080541983,-0.1040084558,
8.667,-0.1104675233,-0.1041210005,
8.7,-0.1132917479,-0.1108936522,
8.734,-0.1152087301,-0.1123057644,
8.768,-0.1222232357,-0.1132642554,
8.8,-0.1242404357,-0.1223374971,
8.834,-0.124459669,-0.123346097,
8.867,-0.1267414093,-0.1234557135,
8.9,-0.129921332,-0.1245965836,
8.934,-0.134441793,-0.1261865447,
8.967,-0.1370384395,-0.1340127641,
9,-0.1411987245,-0.1353110871,
9.034,-0.1372523904,-0.1373912294,
9.067,-0.136911422,-0.1354180622,
9.1,-0.137779057,-0.1352475777,
9.134,-0.1417079568,-0.1356813951,
9.167,-0.1447144598,-0.1376458448,
9.2,-0.1479845941,-0.1447150849,
9.234,-0.1533794403,-0.1463501518,
9.267,-0.1544242948,-0.1490475746,
9.3,-0.1561150998,-0.1495700016,
9.334,-0.1577847451,-0.1559813925,
9.367,-0.1577847451,-0.1568162148,
9.4,-0.1648789495,-0.1568162146,
9.434,-0.161092639,-0.1603633167,
9.467,-0.1590237617,-0.1584701611,
9.5,-0.1590007544,-0.1574357223,
9.534,-0.1629354507,-0.1574242183,
9.567,-0.1646216512,-0.1593915663,
9.6,-0.1670893133,-0.1602346664,
9.634,-0.1683896184,-0.1670344855,
9.667,-0.1678035706,-0.1676846378,
9.701,-0.1695804894,-0.1673916136,
9.734,-0.1702196449,-0.1682800728,
9.767,-0.176973924,-0.1685996498,
9.8,-0.1795186251,-0.1775427777,
9.834,-0.1763582528,-0.1788151278,
9.867,-0.1739922464,-0.1716689527,
9.9,-0.1773951501,-0.170485949,
9.936,-0.1815332919,-0.1777533889,
9.967,-0.1844627857,-0.1798224595,
10,-0.1886422485,-0.1812872061,
10.034,-0.1886562258,-0.1833769367,
10.067,-0.1888612509,-0.1833839252,
10.1,-0.1913834512,-0.1890524252,
10.134,-0.1942721307,-0.1903135248,
10.168,-0.1983146071,-0.1917578639,
10.2,-0.2029704005,-0.1993450899,
10.234,-0.199888289,-0.2016729854,
10.268,-0.1981120855,-0.1945659414,
10.3,-0.1986996979,-0.1936778391,
10.334,-0.1995208412,-0.193971645,
10.367,-0.2012329847,-0.199948204,
10.4,-0.199624896,-0.2008042754,
10.436,-0.1945549846,-0.1918992871,
10.467,-0.1958579272,-0.1918992867,
10.5,-0.1944301128,-0.1925507579,
10.534,-0.197793901,-0.1918368506,
10.567,-0.2009036243,-0.1990847321,
10.6,-0.2082522511,-0.2006395936,
10.634,-0.2084065676,-0.2043139068,
10.667,-0.207207337,-0.204391065,
10.7,-0.205727309,-0.2037914498,
10.734,-0.2071535438,-0.2030514359,
10.767,-0.2069334537,-0.2037645533,
10.8,-0.2115077376,-0.2036545084,
10.834,-0.212976709,-0.2115076383,
10.867,-0.2100196481,-0.2122421239,
10.9,-0.2038640827,-0.2051976059,
10.934,-0.2032758743,-0.2021198234,
10.967,-0.2021661401,-0.2018257191,
11,-0.2026634067,-0.2012708522,
11.034,-0.1956924796,-0.1959534975,
11.067,-0.192505151,-0.1924680339,
11.1,-0.1894147992,-0.1908743696,
11.134,-0.1879374534,-0.1837632058,
11.167,-0.1858395487,-0.183024533,
11.2,-0.1813158095,-0.1819755807,
11.234,-0.171670109,-0.1741477234,
11.267,-0.1684396118,-0.1693248732,
11.3,-0.1651806235,-0.1621436367,
11.334,-0.164324224,-0.1605141425,
11.367,-0.1628790945,-0.1600859428,
11.4,-0.164904058,-0.1593633781,
11.434,-0.1640186757,-0.1603758598,
11.469,-0.1608000547,-0.1599331686,
11.5,-0.1603111625,-0.1583238581,
11.534,-0.1615605503,-0.1580794118,
11.567,-0.1646464914,-0.1587041056,
11.6,-0.167238459,-0.1602470761,
11.634,-0.1659130454,-0.1615430599,
11.667,-0.1653351784,-0.1608803532,
11.7,-0.1658782065,-0.1605914197,
11.734,-0.1695618778,-0.1664289217,
11.767,-0.1721341461,-0.1682707575,
11.8,-0.175929293,-0.1695568916,
11.834,-0.1765898466,-0.1714544652,
11.867,-0.1732774675,-0.1717847419,
11.9,-0.1714571863,-0.1701285524,
11.934,-0.1653025001,-0.169218412,
11.967,-0.1626214534,-0.1605750809,
12,-0.1581266671,-0.1592345576,
12.034,-0.155696243,-0.1569871644,
12.067,-0.1518933624,-0.1502059642,
12.1,-0.1482377797,-0.1483045238,
12.134,-0.1463895291,-0.1464767323,
12.167,-0.1450553685,-0.1455526069,
12.2,-0.1433631033,-0.1393195388,
12.234,-0.1431132257,-0.1384734062,
12.267,-0.1404888928,-0.1383484674,
12.3,-0.1354222,-0.137036301,
12.334,-0.1337702721,-0.1345029546,
12.367,-0.1311268359,-0.1281110029,
12.4,-0.1297441423,-0.1267892849,
12.434,-0.1257006824,-0.1260979382,
12.467,-0.1183884367,-0.1185102207,
12.5,-0.1143381968,-0.1148540979,
12.534,-0.1080435216,-0.1128289781,
12.567,-0.1060329229,-0.1041156528,
12.6,-0.1044108048,-0.1031103534,
12.634,-0.1030656174,-0.1022992947,
12.667,-0.0997434333,-0.0960607131,
12.7,-0.0958577022,-0.09439962125,
12.734,-0.09474267811,-0.09245675576,
12.767,-0.09271415323,-0.09189924401,
12.8,-0.09234302491,-0.09088498172,
12.834,-0.08968773484,-0.0906994176,
12.867,-0.08705145866,-0.08380578461,
12.9,-0.08425601572,-0.08248764656,
12.934,-0.08387493342,-0.08108992511,
12.967,-0.08390087634,-0.08089938396,
13,-0.08723760396,-0.08091235541,
13.034,-0.08988022059,-0.08814670728,
13.067,-0.09058894962,-0.08946801553,
13.1,-0.09186109155,-0.08982237997,
13.134,-0.0937801823,-0.09045845078,
13.167,-0.09788335115,-0.09141799612,
13.2,-0.1013415456,-0.09346958053,
13.234,-0.106710434,-0.1007646659,
13.267,-0.1082885712,-0.10344911,
13.3,-0.1097615361,-0.1042381786,
13.334,-0.1150543019,-0.110540649,
13.367,-0.1185929254,-0.1131870318,
13.4,-0.1221913472,-0.1149563435,
13.434,-0.1305117011,-0.1223215424,
13.467,-0.1322952062,-0.1264817193,
13.5,-0.132637471,-0.1273734717,
13.534,-0.1329804063,-0.1331105921,
13.567,-0.1345477253,-0.1332820597,
13.6,-0.1391902715,-0.1340657192,
13.634,-0.1361325234,-0.1363869923,
13.667,-0.1348438561,-0.1348581183,
13.7,-0.1346550733,-0.1342137846,
13.734,-0.1339607537,-0.1341193933,
13.767,-0.1333079636,-0.1282062456,
13.8,-0.1331619918,-0.1278798506,
13.834,-0.1309037209,-0.1278068648,
13.867,-0.1243959442,-0.1266777296,
13.9,-0.1206649095,-0.1234238413,
13.934,-0.1190315261,-0.1159923361,
13.967,-0.1140452549,-0.1151756445,
14,-0.1133235171,-0.1126825089,
14.034,-0.1132318974,-0.11232164,
14.067,-0.1066954657,-0.106709842,
14.1,-0.1030520722,-0.1034416263,
14.134,-0.09900559485,-0.1016199296,
14.167,-0.0983126387,-0.09403070277,
14.2,-0.09862414747,-0.09368422469,
14.234,-0.0987084955,-0.09383997905,
14.267,-0.09735584259,-0.093882153,
14.3,-0.09526355565,-0.09320582648,
14.334,-0.09041818976,-0.092159683,
14.367,-0.08834563196,-0.08417101194,
14.4,-0.08218880743,-0.08313473308,
14.434,-0.07983390242,-0.08005632088,
14.467,-0.07557895035,-0.07331288032,
14.5,-0.06693243235,-0.07118540438,
14.534,-0.06137521192,-0.06129615739,
14.567,-0.05398054793,-0.0585175473,
14.6,-0.05093504116,-0.04925422716,
14.634,-0.04784744605,-0.04773147383,
14.667,-0.04303907603,-0.040621688,
14.7,-0.03981764242,-0.038217503,
14.734,-0.03824469075,-0.0366067862,
14.767,-0.03473935276,-0.03582031039,
14.8,-0.03325857967,-0.03406764143,
14.834,-0.02955722995,-0.02776126655,
14.867,-0.0272321105,-0.02591059169,
14.9,-0.02490990795,-0.02474803197,
14.934,-0.01823764294,-0.0235869307,
14.967,-0.01595808379,-0.01468480985,
15,-0.01174265612,-0.01354503029,
15.034,-0.01041844953,-0.01143731645,
15.067,-0.009165452793,-0.005209224764,
15.1,-0.005953391548,-0.004582726397,
15.134,-0.004077625927,-0.002976695774,
15.167,-0.002217644127,-0.002038812963,
15.2,0.0009014115785,-0.001108822064,
15.234,0.002828753553,0.0004507057893,
15.267,0.006086591166,0.001414376777,
15.3,0.008488202468,0.003043295583,
15.334,0.0106260255,0.004244101234,
15.367,0.01413785666,0.01087900115,
15.4,0.02083173953,0.01263491672,
15.434,0.02299093828,0.02154784652,
15.467,0.02603705227,0.02262744588,
15.5,0.0264336206,0.02415050282,
15.534,0.02690557949,0.02434878697,
15.567,0.02709752694,0.02458476638,
15.6,0.02817674913,0.0246807401,
15.634,0.03190381825,0.0252203512,
15.667,0.03306159005,0.02708388577,
15.7,0.03534540161,0.03322875998,
15.734,0.03645573184,0.03437066576,
15.767,0.04079389572,0.03492583084,
15.8,0.04277628288,0.03709491276,
15.834,0.04527581111,0.03808610634,
15.867,0.04619156942,0.04490185875,
15.9,0.0473439768,0.04535973792,
15.934,0.05291486159,0.04593594162,
15.967,0.05656112731,0.04872138404,
16,0.05991857499,0.05778922913,
16.034,0.06388948113,0.05778922913,
16.067,0.06464425474,0.05977468226,
16.1,0.06904236972,0.06571805764,
16.134,0.07197904587,0.06791711527,
16.168,0.0812086612,0.06938545352,
16.2,0.08576987684,0.07956624984,
16.234,0.09180945158,0.08741284664,
16.267,0.09377667308,0.09043263413,
16.3,0.09629644454,0.09141624514,
16.334,0.09998739511,0.09824211996,
16.367,0.1092570201,0.1000875954,
16.4,0.1148450747,0.1102883967,
16.434,0.1204226911,0.1130824242,
16.467,0.1250262707,0.1214372214,
16.5,0.1268417984,0.1237390116,
16.534,0.12702097,0.1246467756,
16.567,0.127274394,0.1247363615,
16.6,0.1257689297,0.1248630735,
16.634,0.1265423894,0.1241103414,
16.667,0.1247249842,0.1244970713,
16.7,0.1231777221,0.1235883687,
16.734,0.1202378944,0.117248749,
16.767,0.1194091141,0.1157788352,
16.801,0.1218863204,0.1153644451,
16.834,0.1232831776,0.122169037,
16.867,0.1254386753,0.1228674655,
16.9,0.1308274567,0.1239452142,
16.934,0.1393900663,0.1322055937,
16.967,0.1451908201,0.1364868984,
17,0.1497837752,0.1449532638,
17.034,0.1582667679,0.1472497413,
17.067,0.1584355682,0.1570572263,
17.1,0.1575091183,0.1571416263,
17.134,0.1568576097,0.1566784014,
17.167,0.1554964185,0.1563526472,
17.2,0.1567064971,0.1556720518,
17.234,0.1608273387,0.1562770912,
17.267,0.1591674089,0.1583375123,
17.3,0.1556327492,0.1575075478,
17.334,0.1538618505,0.1501742294,
17.367,0.1536180079,0.1492887803,
17.4,0.1526874155,0.1491668593,
17.434,0.1537314951,0.1487015638,
17.467,0.1549414545,0.1492236038,
17.5,0.152548179,0.1498285839,
17.534,0.1513625234,0.1486319466,
17.567,0.1513966322,0.1480391197,
17.6,0.1553189307,0.1480561743,
17.634,0.1571502984,0.155583313,
17.667,0.1565853655,0.1564989972,
17.7,0.1564569026,0.1562165311,
17.734,0.1557473391,0.1505863108,
17.767,0.1559218317,0.1502315293,
17.8,0.1578353792,0.1558847651,
17.834,0.1585307419,0.1568415392,
17.867,0.159711495,0.1571892208,
17.9,0.1558649838,0.1577795975,
17.934,0.1533409804,0.1502903527,
17.967,0.1478886157,0.1490283509,
18,0.1467925012,0.1463021686,
18.034,0.1423362345,0.1457541113,
18.067,0.1396105736,0.1379599884,
18.1,0.1366390288,0.1365971579,
18.134,0.1321252435,0.1351113853,
18.167,0.1297326535,0.1272885033,
18.2,0.1274767965,0.1260922082,
18.234,0.1239210069,0.1249642794,
18.267,0.1214368567,0.1231863845,
18.3,0.1170054749,0.11637832,
18.334,0.1118667871,0.1141626288,
18.367,0.1053368971,0.1060272956,
18.4,0.1030289605,0.1027623501,
18.434,0.100682579,0.1016083816,
18.467,0.09619672596,0.09486920163,
18.5,0.09480140358,0.09262627487,
